country,year,gdp_per_capita,internet_users_pct,population,electricity_kwh_pc
Myanmar,2020,1490.21683599469,45.4477005,53016522.0,395.027799069882
Cuba,2020,9605.27914559614,71.11907507,11176354.0,1525.98960269154
Timor-Leste,2021,2684.92676774277,35.04199982,1350139.0,717.5944940526346
Puerto Rico (US),2022,35353.6821570014,87.29178106,3220137.0,8388.519553930113
Afghanistan,2023,413.757894705303,15.92840004,41454761.0,717.5944940526346
West Bank and Gaza,2023,3455.02852911712,86.63765334,5165775.0,717.5944940526346
Lebanon,2023,3477.72489842684,81.7059021,5773493.0,975.319446996818
Albania,2024,11377.7757431099,85.86389923,2377128.0,8388.519553930113
Zimbabwe,2024,2497.20332208763,41.64279938,16634373.0,717.5944940526346
Ecuador,2024,6874.705739766,77.17273115,18135478.0,2634.862251084238
"Egypt, Arab Rep.",2024,3338.47371395895,74.64839935,116538258.0,717.5944940526346
El Salvador,2024,5579.65969165029,66.47769928,6338193.0,2634.862251084238
Equatorial Guinea,2024,6745.40013244916,63.29930115,1892516.0,2634.862251084238
Estonia,2024,31428.3547816104,92.23796204,1372341.0,5297.51716227964
Eswatini,2024,3909.55892378182,63.40309906,1242822.0,717.5944940526346
Ethiopia,2024,1133.88279681719,21.94129944,132059767.0,717.5944940526346
Finland,2024,53149.7671934051,93.72405196,5619911.0,14819.2738283578
France,2024,46103.0840855884,88.65381638,68551653.0,6447.21141881145
Gabon,2024,8230.04311451151,68.72090149,2538952.0,2634.862251084238
"Gambia, The",2024,871.340291776294,49.49430084,2759988.0,717.5944940526346
Georgia,2024,9241.49122313713,83.79855689,3699557.0,2634.862251084238
Germany,2024,56103.7323182554,93.49999579,83516593.0,6109.08541252395
Ghana,2024,2390.77237652715,72.17569733,34427414.0,717.5944940526346
Greece,2024,24626.1481858973,86.26968886,10405134.0,4685.95599057158
Guatemala,2024,6150.02571438505,60.22140121,18406359.0,2634.862251084238
Guinea,2024,1694.95375862193,33.30469894,14754785.0,717.5944940526346
Japan,2024,32487.0778047567,85.54153081,123975371.0,7530.06014396198
Jamaica,2024,7753.8006955432,90.10870361,2839175.0,2634.862251084238
Italy,2024,40385.3413957669,89.2207202,58952704.0,5136.67702163416
Israel,2024,54176.6844383302,88.18242225,9974400.0,7206.44850818094
Ireland,2024,112894.953240805,97.18769836,5395790.0,6298.24363068244
Iraq,2024,6073.61032342708,81.47450256,46042015.0,2634.862251084238
Dominican Republic,2024,10875.6618443092,91.0022446,11427557.0,8388.519553930113
"Iran, Islamic Rep.",2024,5190.16959024821,85.3404007,91567738.0,2634.862251084238
India,2024,2694.73780859961,64.9434967,1450935791.0,717.5944940526346
Hungary,2024,23292.3263882478,93.77898628,9562065.0,4812.45421360344
"Hong Kong SAR, China",2024,54074.6928519479,95.75536971,7524100.0,8388.519553930113
Honduras,2024,3426.43483328923,58.62269974,10825703.0,717.5944940526346
