country,scenario_risk_score,risk_cluster,risk_level
Togo,-3.5812068269543866,2,Low Risk
Tunisia,-0.18055553539043218,1,High Risk
Turkiye,1.0148584596332655,1,High Risk
Turkmenistan,-1.5203850056649324,0,Medium Risk
Uganda,-4.666550204668423,2,Low Risk
Ukraine,0.18899722023622623,1,High Risk
United Arab Emirates,0.7830384574618491,1,High Risk
United Kingdom,1.7884249480906191,1,High Risk
United States,1.1720127351228442,1,High Risk
Uruguay,0.7994518771571768,1,High Risk
Uzbekistan,-0.17503419152636823,1,High Risk
"Venezuela, RB",-0.015361663459807745,1,High Risk
Viet Nam,0.32966161814013417,1,High Risk
West Bank and Gaza,-0.3182348016747942,1,High Risk
"Yemen, Rep.",-2.701375664849795,2,Low Risk
Zambia,-3.3684489429990094,2,Low Risk
Zimbabwe,-1.817706397496472,0,Medium Risk
