country,year,gdp_per_capita,population,internet_users_pct,electricity_kwh_pc,renewable_electricity_pct,energy_imports_net_pct
Zimbabwe,2015,1387.12632595026,14399013.0,22.74279976,552.537871866634,54.0249201935949,18.2951536694899
Zambia,2015,1295.87788680068,16399089.0,8.8,718.149648434739,97.0116253239541,12.8652340849791
"Yemen, Rep.",2015,1362.1738120601,31159379.0,24.08539963,139.25181243182,2.01735809755251,-8.03426556451313
West Bank and Gaza,2015,3272.15432360708,4270092.0,56.70000076,,1.79744277330846,
Virgin Islands (U.S.),2015,34007.3529411765,107712.0,54.839137296,,1.95512172582089,
Viet Nam,2015,2577.56885340113,92823254.0,45.0,1615.48958410788,35.3964190424428,8.2509798159245
"Venezuela, RB",2015,4103.1384987005,30573972.0,58.0,2280.40373687789,65.5396647849415,-186.845880868101
Vanuatu,2015,2854.89412272653,266101.0,22.35140038,,29.813571961223,
Uzbekistan,2015,2803.19018021751,30749346.0,42.79999924,1531.86997863304,14.1123458510416,-21.6515984403769
Uruguay,2015,17125.9016800298,3368017.0,64.5707870971624,3242.26391968924,93.0345254570617,48.1289475686782
United States,2015,56572.9188996063,321815121.0,74.5542024462761,12828.8160828838,13.6328082889697,11.738944672511
United Kingdom,2015,45255.3449216209,65088000.0,92.0002998740234,5078.26327433628,25.4710311062464,40.2775678357428
United Arab Emirates,2015,44910.334995523,8505237.0,90.5,14046.2870111674,0.240204736895818,-144.956335243698
Ukraine,2015,2094.47387695313,45784896.0,48.8846436813218,3164.58073859117,5.73886560525898,32.3138309846762
Uganda,2015,862.934610355811,37531446.0,5.699999809,74.1777974661568,95.293657446214,9.16931174713258
Tuvalu,2015,3357.83417700071,10963.0,27.29999924,,11.4613180515759,
Turks and Caicos Islands,2015,29457.0140691162,36605.0,,,0.0217344055640078,
Turkmenistan,2015,5759.497903834,6215770.0,14.99680042,2645.04639006913,0.0139788763646046,-249.248057438709
Turkiye,2015,11064.6494504662,78218479.0,53.7449791423583,2930.20272102197,31.9582364019054,80.4443196769827
Tunisia,2015,4014.94773686432,11402264.0,46.4999943435776,1438.92476090713,2.88556176919166,45.1826044906527
Trinidad and Tobago,2015,19887.2327716498,1349667.0,65.09999847,6906.88888444335,0.0654127481713689,-90.9862083304454
Tonga,2015,4123.90323993332,106095.0,38.65129852,,7.89246941237291,
Togo,2015,751.051987587248,7663195.0,7.119999886,91.3457115472071,18.8466666666667,
Timor-Leste,2015,1319.59295003154,1205131.0,18.60000038,,0.625454545454545,
Thailand,2015,5688.85335397884,70540795.0,39.3161267365004,2487.5676550002,13.1383644566273,46.3193962539699
Tanzania,2015,939.127319335938,52020962.0,10.0,105.515157524384,35.5252370755583,14.637670854505
Tajikistan,2015,956.916310930656,8643840.0,18.97999954,1521.89304753443,98.4733714019345,31.0273372811847
Syrian Arab Republic,2015,847.731631942565,19424618.0,29.97979927,793.68356175653,2.25183657039348,59.6837060352488
Switzerland,2015,83806.4476003837,8282396.0,87.4790555978675,7500.48657417491,63.1244645336642,56.4345660140979
Sweden,2015,51188.1652120493,9799186.0,90.6101966398616,13523.9804612342,63.3042896269246,32.883202401172
Suriname,2015,8813.61705392067,581627.0,42.76380157,3091.32829115567,23.7974434611603,4.53007029419422
Sudan,2015,1292.37963867188,40024431.0,12.0,251.221560151598,65.4723987443534,4.16987024694937
St. Vincent and the Grenadines,2015,7353.73556054184,106960.0,49.40000153,,12.0538766580063,
St. Martin (French part),2015,,37369.0,,,2.10837438423645,
St. Lucia,2015,10334.9860823918,174905.0,57.26330185,,0.308537063668453,
St. Kitts and Nevis,2015,20328.8003530109,47087.0,66.17310333,,4.50787851107559,
Sri Lanka,2015,4057.7158346231,20970000.0,15.26249981,584.501669051025,48.4749658625398,56.8569021007135
Spain,2015,25982.4416197775,46422303.0,78.6896318703515,5477.30258018436,35.7115563292288,80.0358808031651
South Sudan,2015,1080.14718624765,11107561.0,3.0,49.6058495649945,0.041522491349481,-801.69453358104
South Africa,2015,6112.27382485974,56723537.0,51.91910172,4023.19763663539,2.67115419278604,-17.6657935079825
"Somalia, Fed. Rep.",2015,445.583080073396,13806963.0,1.75999999,,1.45841545132046,
Solomon Islands,2015,2045.47721526649,639415.0,10.00049973,,6.89128775487951,
Slovenia,2015,20697.2748530619,2063531.0,73.0986599745829,6875.59333976567,30.7114569536424,49.0810501456121
Slovak Republic,2015,16442.0760860018,5423801.0,77.6346820339875,5149.15646794563,23.4583503698472,57.3579679272209
Sint Maarten (Dutch part),2015,37839.6283815163,37471.0,,,0.0,
Singapore,2015,55645.6068614606,5535002.0,79.0129570025584,8948.68692007699,4.17967076556922,277.405757867332
Sierra Leone,2015,964.575980888989,7037655.0,6.344399929,,74.7277915446422,
Seychelles,2015,15333.1051727105,93419.0,54.25960159,,2.23434108116694,
Serbia,2015,5820.3215576888,7095383.0,65.3170254003801,4539.71265539859,28.2772468536216,27.8417033393736
Senegal,2015,1218.00613555438,14593331.0,21.70000076,264.024711013544,1.63358226933269,68.9810729727345
Saudi Arabia,2015,23256.1549553531,29816382.0,69.6162358014004,11233.9250281942,0.0127345044562439,-175.630386958295
Sao Tome and Principe,2015,1298.10946596396,200291.0,25.81999969,,6.53562653562654,
San Marino,2015,43146.8240435428,32897.0,,,,
Samoa,2015,4084.36083819933,201782.0,,,29.7526089177552,
Rwanda,2015,733.998629882494,11640022.0,12.45600033,41.4947669342893,66.022770398482,9.1290513498151
Russian Federation,2015,9277.7138671875,144640716.0,70.0992412263947,6563.38703411839,16.0860086328994,-89.8620525060983
Romania,2015,8977.01748158196,19815616.0,55.7631556336233,2644.73231616923,40.0862646313503,16.7628336345383
Qatar,2015,68985.2433380102,2344557.0,92.8848264535481,16644.508962674,0.30323622255958,-479.505760954495
Puerto Rico (US),2015,29242.041465085,3535167.0,63.4663353848474,,2.47120225762514,
Portugal,2015,19215.7813014347,10358076.0,68.6328614804299,4807.07034781363,48.6663487218619,84.2773216677394
Poland,2015,12637.5220324406,37986412.0,67.9969871556415,4056.08194846094,14.1941386167427,30.1532074780427
Philippines,2015,2909.85818010301,105312992.0,36.90000153,711.536141713645,25.5279742765273,49.3367264630033
Peru,2015,6231.71150338894,30457600.0,40.8526009090468,1403.49206766127,50.9902125802631,-0.666077740380577
Paraguay,2015,5879.33792308762,6159103.0,49.716304663966,1790.35810896489,,-27.0790807237855
Papua New Guinea,2015,2484.5963398603,8743246.0,7.900000095,,35.5026551913569,
Panama,2015,14082.6548434996,3960035.0,51.2054249948687,2218.91978227465,67.7590092277805,170.011768859598
Palau,2015,16154.0532152373,17770.0,,,1.84130829800121,
Pakistan,2015,1380.47020838317,217290883.0,11.0,435.140207884378,33.1300832000575,29.0045925555989
Oman,2015,18808.3077921839,4184895.0,73.52999878,7071.1451541795,0.0127586838410353,-200.504976857989
Norway,2015,74809.9658049898,5188607.0,96.810325691365,23596.3140010411,97.7069237474576,-719.208537916367
Northern Mariana Islands,2015,17665.1007493109,51514.0,,,,
North Macedonia,2015,5262.68671928674,1912430.0,70.3802030766689,3724.58076896932,35.929153382926,52.5244072524406
Nigeria,2015,2585.73360671797,190671878.0,22.51420021,200.685074282428,14.3507341670924,-184.449187254776
Niger,2015,485.662574175279,19939498.0,2.476200104,55.3674922006562,2.14689265536723,-0.334913977022969
Nicaragua,2015,2074.45620634731,6149417.0,19.70429993,570.785815956212,50.1023793931456,46.1907119642496
New Zealand,2015,38665.3723018158,4609400.0,85.19999695,9066.90675575997,80.4649913849046,23.8782747862112
New Caledonia,2015,30858.7237060533,283168.0,74.00175279141,,14.0896454076623,
Netherlands,2015,45793.8135434697,16939923.0,91.7241379310345,6711.77785164667,12.4230716884578,58.819996608432
Nepal,2015,875.543635474862,27823629.0,17.58160019,140.851504309521,,16.8423490088295
Nauru,2015,7747.25584993607,10954.0,,,0.661703887510339,
Namibia,2015,4774.10650865775,2374300.0,25.68790054,1601.31407151582,94.7961290322581,77.5412849185528
Myanmar,2015,1166.73305547935,51089056.0,10.89999962,266.299694400304,67.2229571022376,-49.9388837150236
Mozambique,2015,610.563774706589,26547572.0,6.5,477.218782945574,92.6451909056543,-44.3553661863917
Morocco,2015,3146.24780273438,34607588.0,57.0799993486116,886.308517080127,15.5367932083934,96.0366529395705
Montenegro,2015,6421.00307345999,624651.0,68.1197860085679,4706.62818117637,49.6503496503497,30.5421427546972
Mongolia,2015,3838.92126989984,3026864.0,22.5000041337688,2017.26935864974,4.04752403410122,-210.649757498803
Monaco,2015,170437.101188261,36757.0,93.36329651,,,
Moldova,2015,2749.55137054338,2835978.0,69.0000044661932,1945.00803602849,4.73706825318129,82.5738698191325
"Micronesia, Fed. Sts.",2015,2853.07643587028,108716.0,31.50110054,,4.63703703703704,
Mexico,2015,10021.2386118827,121072306.0,57.4310429923633,2225.42222000793,15.2646075424702,-0.838223440033256
Mauritius,2015,9630.5437837507,1262879.0,50.1393184766711,2232.99302625192,22.7630964297631,
Mauritania,2015,1554.94897871782,3965959.0,17.60000038,,13.4185763996129,
Marshall Islands,2015,3764.34426229508,48800.0,19.28240013,,1.72945435044912,
Malta,2015,25529.6813337717,444220.0,75.9600189752747,4905.22713970555,7.82592024539877,347.151816528742
Mali,2015,838.11986940103,18593022.0,10.32999992,,65.9308014673778,
Maldives,2015,9644.90655028145,428154.0,54.4620018,,1.5101116576872,
Malaysia,2015,9648.6797937523,31232798.0,71.0640678111957,4475.45557717884,11.1399690926289,-9.78609643797293
Malawi,2015,539.605363240686,17085587.0,6.0,,99.1033497131894,
Madagascar,2015,445.320069480568,25426702.0,4.173999786,79.1687415851257,46.4120982986767,
"Macao SAR, China",2015,69902.9605741233,642900.0,77.6001318608868,,,
Luxembourg,2015,105462.012584423,569604.0,96.3767141704759,14410.0111656519,67.3232104121475,107.745108083188
Lithuania,2015,14269.8039878287,2911109.0,71.3780590101754,3898.17076584903,47.699168862761,77.6835497527366
Liechtenstein,2015,167187.15730982,37494.0,96.6411972,,,
Libya,2015,7458.48917756374,6531819.0,25.0,4651.6904402893,0.020767241609128,-78.2025353416576
Liberia,2015,692.590082351257,4659431.0,10.0,,21.5653057767237,
Lesotho,2015,1121.19851342518,2104611.0,25.0,,99.9289201473972,
Lebanon,2015,7714.1099998804,6472469.0,74.0,2631.91681566957,2.74690265486726,
Latvia,2015,13321.9753140616,1977527.0,79.2005829239344,3491.22919687064,50.1850713898428,55.5329590910619
Lao PDR,2015,2121.01339097363,6801645.0,18.20000076,623.378609145288,98.1752944062807,3.85415877198598
Kyrgyz Republic,2015,1105.65193844261,6040036.0,30.24699974,1805.78393903613,85.1320030698388,64.6862607464469
Kuwait,2015,29882.2126495698,3834574.0,82.0,16233.0939499407,0.00745372539831303,-356.959279551447
Kosovo,2015,3520.62850699375,1788274.0,,,2.29242655998745,
"Korea, Rep.",2015,30171.7906545222,51014947.0,89.8962557995106,10429.080716285,2.59846041402281,86.7300628107977
"Korea, Dem. People's Rep.",2015,,25575350.0,,625.485086225604,52.7881578947368,-115.319348277003
Kiribati,2015,1639.85274740652,116815.0,14.89999962,,16.207322089675,
Kenya,2015,1489.11959777284,47088526.0,16.5878548475992,172.165083273152,85.6406490705556,21.5157568218046
Kazakhstan,2015,10196.1226255982,18084169.0,70.82993359566,4794.91205816535,10.3259180252933,-163.347093699784
Jordan,2015,4042.75678097555,9544729.0,54.22000122,1820.16692144952,1.21431953285286,101.502649371657
Japan,2015,34960.6393843385,127141000.0,91.0580283929962,8007.09448564979,14.178795710626,94.8396264266997
Jamaica,2015,5339.30718256806,2802534.0,42.2212211907441,1077.2393840717,7.1475012130034,109.43720166783
