country,scenario,scenario_risk_score
Belarus,baseline_demand_low_energy,0.2488197196443494
Belarus,baseline_demand_severe_low_energy,0.4976394392886988
Belarus,extreme_demand_baseline_energy,0.2488197196443494
Belarus,extreme_demand_low_energy,0.4976394392886988
Belarus,extreme_demand_severe_low_energy,0.9952788785773976
Belarus,high_demand_baseline_energy,0.18661478973326204
Belarus,high_demand_low_energy,0.3732295794665241
Belarus,high_demand_severe_low_energy,0.7464591589330482
Belgium,baseline_demand_baseline_energy,0.3288618337351836
Belgium,baseline_demand_low_energy,0.6577236674703671
Belgium,baseline_demand_severe_low_energy,1.3154473349407343
Belgium,extreme_demand_baseline_energy,0.6577236674703671
Belgium,extreme_demand_low_energy,1.3154473349407343
Belgium,extreme_demand_severe_low_energy,2.6308946698814686
Belgium,high_demand_baseline_energy,0.49329275060277544
Belgium,high_demand_low_energy,0.9865855012055509
Belgium,high_demand_severe_low_energy,1.9731710024111018
Benin,baseline_demand_baseline_energy,-0.8920827215530466
Benin,baseline_demand_low_energy,-1.7841654431060932
Benin,baseline_demand_severe_low_energy,-3.5683308862121863
Benin,extreme_demand_baseline_energy,-1.7841654431060932
Benin,extreme_demand_low_energy,-3.5683308862121863
Benin,extreme_demand_severe_low_energy,-7.136661772424373
Benin,high_demand_baseline_energy,-1.33812408232957
Benin,high_demand_low_energy,-2.67624816465914
Benin,high_demand_severe_low_energy,-5.35249632931828
Bolivia,baseline_demand_baseline_energy,-0.1065187715157041
Bolivia,baseline_demand_low_energy,-0.2130375430314082
Bolivia,baseline_demand_severe_low_energy,-0.4260750860628164
Bolivia,extreme_demand_baseline_energy,-0.2130375430314082
Bolivia,extreme_demand_low_energy,-0.4260750860628164
Bolivia,extreme_demand_severe_low_energy,-0.8521501721256328
Bolivia,high_demand_baseline_energy,-0.15977815727355615
Bolivia,high_demand_low_energy,-0.3195563145471123
Bolivia,high_demand_severe_low_energy,-0.6391126290942246
Bosnia and Herzegovina,baseline_demand_baseline_energy,0.0259707273057507
Bosnia and Herzegovina,baseline_demand_low_energy,0.0519414546115014
Bosnia and Herzegovina,baseline_demand_severe_low_energy,0.1038829092230028
Bosnia and Herzegovina,extreme_demand_baseline_energy,0.0519414546115014
Bosnia and Herzegovina,extreme_demand_low_energy,0.1038829092230028
Bosnia and Herzegovina,extreme_demand_severe_low_energy,0.2077658184460056
Bosnia and Herzegovina,high_demand_baseline_energy,0.03895609095862605
Bosnia and Herzegovina,high_demand_low_energy,0.0779121819172521
Bosnia and Herzegovina,high_demand_severe_low_energy,0.1558243638345042
Botswana,baseline_demand_baseline_energy,-0.116000311345286
Botswana,baseline_demand_low_energy,-0.232000622690572
Botswana,baseline_demand_severe_low_energy,-0.464001245381144
Botswana,extreme_demand_baseline_energy,-0.232000622690572
Botswana,extreme_demand_low_energy,-0.464001245381144
Botswana,extreme_demand_severe_low_energy,-0.928002490762288
Botswana,high_demand_baseline_energy,-0.174000467017929
Botswana,high_demand_low_energy,-0.348000934035858
Botswana,high_demand_severe_low_energy,-0.696001868071716
Brazil,baseline_demand_baseline_energy,0.3392830573050697
Brazil,baseline_demand_low_energy,0.6785661146101394
Brazil,baseline_demand_severe_low_energy,1.3571322292202788
Brazil,extreme_demand_baseline_energy,0.6785661146101394
Brazil,extreme_demand_low_energy,1.3571322292202788
Brazil,extreme_demand_severe_low_energy,2.7142644584405575
Brazil,high_demand_baseline_energy,0.5089245859576045
Brazil,high_demand_low_energy,1.017849171915209
Brazil,high_demand_severe_low_energy,2.035698343830418
Bulgaria,baseline_demand_baseline_energy,0.11094610158307258
