country,year,gdp_per_capita,internet_users_pct,population,gdp_scaled,internet_scaled,population_scaled,development_score,scale_score,ai_demand_score_weighted,energy_capacity_score,energy_capacity_pos,ai_risk_score
Zimbabwe,2015,1387.12632595026,22.74279976,14399013.0,-1.1005731477776883,-1.1739011846261491,0.029048312163469904,-1.1372371662019187,0.029048312163469904,-0.8438325956893601,-0.717215750570387,1.11507021437288,-0.7567528796058238
Zambia,2015,1295.87788680068,8.8,16399089.0,-1.148736580725079,-2.511096287392794,0.07642764125927805,-1.8299164340589362,0.07642764125927805,-1.3192714225626898,-0.681892607749259,1.150393357194008,-1.1468002786286964
"Yemen, Rep.",2015,1362.1738120601,24.08539963,31159379.0,-1.1134218104253117,-1.09077890191405,0.31024944165403295,-1.102100356169681,0.31024944165403295,-0.749578979426534,-0.8053650525458642,1.0269209123974026,-0.7299286345981612
West Bank and Gaza,2015,3272.15432360708,56.70000076,4270092.0,-0.49296252029152227,0.16794962078877348,-0.41373202479661453,-0.1625064497513744,-0.41373202479661453,-0.24183564703969182,-0.682011015980444,1.150274948962823,-0.21024160115609714
Viet Nam,2015,2577.56885340113,45.0,92823254.0,-0.6619146900974382,-0.17449650406437311,0.7078811970170087,-0.41820559708090566,0.7078811970170087,-0.1488693532072537,-0.49050001862472037,1.3417859463185464,-0.11094866034012806
"Venezuela, RB",2015,4103.1384987005,58.0,30573972.0,-0.33270723526907847,0.20161800611679415,0.30334059103296945,-0.06554461457614216,0.30334059103296945,0.013318555791488926,-0.3486812538678201,1.4836047110754467,0.008977159274342334
Uzbekistan,2015,2803.19018021751,42.79999924,30749346.0,-0.6024992352479244,-0.2485533978093077,0.30542410046855456,-0.42552631652861606,0.30542410046855456,-0.2516373582152888,-0.5083351468266057,1.323950818116661,-0.19006548791083233
Uruguay,2015,17125.9016800298,64.5707870971624,3368017.0,0.6792610961138607,0.3611826015911055,-0.5001776295415281,0.520221848852483,-0.5001776295415281,0.2730739416170491,-0.1435272164227256,1.6887587485205413,0.16170097822218776
United States,2015,56572.9188996063,74.5542024462761,321815121.0,1.5256508486367863,0.5753401249007598,1.1607722065044654,1.050495486768773,1.1607722065044654,1.101822434796097,1.9011773223481678,3.7334632872914346,0.2951207364343606
United Kingdom,2015,45255.3449216209,92.0002998740234,65088000.0,1.3675464327001625,0.8892812064465933,0.5785806177055308,1.128413819573378,0.5785806177055308,1.0029121497627553,0.24807094626606427,2.080356911209331,0.48208658060493714
